site_no,spot_no,site_name,spot_name,lat,lon,prefecture,landform,substrate,has_logger
10,4,八重干瀬,八重干瀬イフ南,24.994944,125.262,沖縄県,離礁・礁縁,岩・砂,False
11,1,平久保崎～宮良湾,大浜小前,24.345194,124.204861,沖縄県,礁池,岩・枝礫,False
11,2,平久保崎～宮良湾,宮良川河口,24.344278,124.214833,沖縄県,礁原・礁斜面,岩,False
11,3,平久保崎～宮良湾,宮良集落前,24.340861,124.233806,沖縄県,礁池,砂・岩,False
11,4,平久保崎～宮良湾,白保集落前,24.349889,124.252667,沖縄県,礁池・礁原,岩・枝礫,False
11,5,平久保崎～宮良湾,白保ｱｵｻﾝｺﾞ,24.363167,124.255444,沖縄県,礁池・礁原,岩・砂,False
11,6,平久保崎～宮良湾,白保第１ﾎﾟｰﾙ,24.364361,124.254556,沖縄県,礁池,岩・枝礫,False
11,7,平久保崎～宮良湾,白保～轟川,24.373444,124.255694,沖縄県,礁池,岩・枝礫,False
11,8,平久保崎～宮良湾,轟川河口,24.3845,124.256306,沖縄県,礁池,岩・砂,False
11,9,平久保崎～宮良湾,モリヤマグチ,24.396667,124.261583,沖縄県,礁原・水路斜面,岩・枝礫,False
11,10,平久保崎～宮良湾,スムジグチ,24.403806,124.263083,沖縄県,礁池,岩・枝礫,False
11,11,平久保崎～宮良湾,採石場前,24.409889,124.263306,沖縄県,礁池・礁原,岩・枝礫,False
11,12,平久保崎～宮良湾,通路川南,24.427778,124.255694,沖縄県,礁池,岩・枝礫,False
11,13,平久保崎～宮良湾,通路川水路北,24.430389,124.259056,沖縄県,礁原・水路斜面,岩・枝礫,False
11,14,平久保崎～宮良湾,野原崎,24.444528,124.261167,沖縄県,礁池,枝礫・砂,False
11,15,平久保崎～宮良湾,伊野田漁港前,24.460889,124.261028,沖縄県,礁池,枝礫・岩,False
11,16,平久保崎～宮良湾,大野牧場前,24.468583,124.262556,沖縄県,礁原・水路斜面,岩・枝礫,False
11,17,平久保崎～宮良湾,玉取崎南,24.485444,124.277972,沖縄県,礁池,岩・枝礫,False
11,18,平久保崎～宮良湾,玉取崎東,24.483806,124.290333,沖縄県,礁池,岩・枝礫,False
11,19,平久保崎～宮良湾,伊原間牧場前,24.515917,124.298611,沖縄県,礁池,枝礫・岩,True
